name;price;profit_pct
Share-AYBY;40520;10.72
Share-PWDG;39720;12.54
Share-UGTV;46130;28.3
Share-GHIZ;28000;39.89
Share-UBEA;46850;4.92
Share-VNTG;30540;25.47
Share-NDSG;24040;10.44
Share-OYDA;20500;10.85
Share-KXOH;1500;32.19
Share-FAXV;29030;32.58
Share-QZWX;20160;24.26
Share-ABJM;21170;38.29
Share-OQSQ;5070;26.84
Share-APJH;26510;38.5
Share-HUNV;0;31.98
Share-EJFE;19110;18.07
Share-BGDY;2460;16.15
Share-PJBK;45420;28.75
Share-PAWY;21860;32.65
Share-KEYI;40400;31.64
Share-JUBL;29670;2.33
Share-BECH;35910;3.26
Share-WALV;29530;27.89
Share-DRAB;0;15.1
Share-KMTG;23210;39.97
Share-MKXO;26440;19.97
Share-QFPY;45300;7.61
Share-WZIF;20040;5.6
Share-VSIP;42360;13.16
Share-IFTU;37650;13.98
Share-WMHE;25470;18.35
Share-NMDR;22270;32.97
Share-MXAF;21230;11.2
Share-WVVQ;11950;18.45
Share-XFUI;20810;32.5
Share-KRLT;29730;20.48
Share-BCJD;13650;17.02
Share-GJTI;23110;10.72
Share-BKDN;34660;18.97
Share-ZSZF;26570;19.68
Share-LDCO;28360;13.65
Share-DBUJ;70;10.73
Share-VBIE;46520;1.98
Share-CKEE;17780;33.02
Share-ZECG;43320;30.76
Share-PWWS;49360;14.37
Share-LOBE;39300;31.97
Share-HFXF;0;9.56
Share-NZHD;15790;8.53
Share-LDVW;26900;37.09
Share-PNHT;8010;20.1
Share-YNRH;15480;20.67
Share-CAEQ;36560;39.17
Share-VRCA;37940;15.52
Share-WSYK;24520;25.99
Share-XKDC;27340;3.05
Share-XUPB;16580;21.26
Share-IZTA;16980;12.84
Share-NFKM;42830;16.48
Share-ONRM;7480;17.87
Share-TSLL;31420;7.71
Share-HXDE;33150;22.02
Share-CUSU;2660;32.49
Share-ZYBC;39090;28.26
Share-KJRG;30570;31.64
Share-RYQW;0;1.88
Share-JPLO;9810;30.98
Share-PRLI;21380;35.35
Share-PCSR;28480;0.93
Share-ISXU;23730;15.06
Share-IUVO;8470;13.86
